ensembl_gene_id,symbol,logFC,t,P.Value,p.adj
ENSG00000243056,EIF4EBP3,-1.518956593,-3.561565193,0.001081616,0.00953395170395869
ENSG00000243094,RP11-1084A12.1,0.642894662,0.750155101,0.458151367,0.683610399059291
ENSG00000243107,AC000120.7,1.108914009,1.097642053,0.279820296,0.519731504538943
ENSG00000243122,RP11-25H11.1,-0.167419655,-0.21814301,0.828578694,0.919301321002221
ENSG00000243147,MRPL33,-0.358446069,-2.37279698,0.023251338,0.0979334826531661
ENSG00000243150,RP11-538P18.2,0.761938656,0.7587867,0.453036427,0.679289357860855
ENSG00000243156,MICAL3,-0.399879502,-0.605428343,0.548782211,0.752211682324189
ENSG00000243175,RP11-58H15.1,4.063427201,3.249334566,0.002548784,0.0185477229982238
ENSG00000243176,RP11-550I24.2,0.739202134,0.969589786,0.338873108,0.581245551149627
ENSG00000243181,RP11-734J24.1,-1.346105036,-2.055295613,0.047336458,0.162372294395512
ENSG00000243197,TUSC7,-0.356657381,-0.383578868,0.703600013,0.849011135674736
ENSG00000243224,RP5-1157M23.2,0.517303006,0.654227459,0.517221454,0.729248021526048
ENSG00000243244,STON1,-0.78317965,-0.630143934,0.532674147,0.740264316471785
ENSG00000243260,RN7SL558P,1.076688142,1.191305556,0.241512646,0.475979902303992
ENSG00000243279,PRAF2,-0.520905089,-2.400489795,0.021798186,0.0934957789384422
ENSG00000243302,RP11-274B21.2,0.67489286,0.998381946,0.324915091,0.566995904633731
ENSG00000243313,RN7SL285P,0.277988513,0.280994803,0.780361171,0.892606426357801
ENSG00000243317,C7orf73,0.268662396,2.101538186,0.042827199,0.151183038344822
ENSG00000243323,PTPRVP,1.718656613,1.925312448,0.062308295,0.196155743518519
ENSG00000243335,KCTD7,0.072758571,0.299400814,0.76639677,0.884785721001465
ENSG00000243350,RP11-379F12.3,-0.870650964,-0.732168413,0.468917862,0.692364964164624
ENSG00000243364,EFNA4,0.415010523,0.526165381,0.602076339,0.786080424192798
ENSG00000243365,RN7SL278P,-0.249876355,-0.381214312,0.705337871,0.849466691412494
ENSG00000243389,AC012442.5,0.464764776,0.6062003,0.548275326,0.751733516390469
